_dataobs_,Pool,Horses,City_Town_Code,Approx_SQFT,Bedrooms_Plus,Year_Built,__Bedrooms,__Bathrooms,__of_Interior_Levels,Exterior_Stories,Elementary_School,Jr__High_School,High_School,Elem_School_Dist__,High_School_Dist__,Approx_Lot_SqFt,Dwelling_Styles,Loan_Type
3,Private,N,Scottsdale,1844,3,1977,3,2,1,1,Sandpiper,Desert Shadows Scott,Horizon School,69,69,11029,Detached,Cash
16,Both,N,Scottsdale,2616,3,1999,3,2.5,1,1,Grayhawk,Mountain Trail,Pinnacle,69,69,8067,Detached,Conventional
24,Both,N,Chandler,1356,2,1985,2,2,2,2,Kyrene del Sureno,Kyrene Aprende,Corona del Sol,28,213,4508,Detached,Conventional
29,Private,N,Tempe,1553,3,1994,3,2,1,1,Kyrene de las Manita,Kyrene del Pueblo,Mountain Pointe,28,213,7079,Detached,Other
33,Private,N,Tempe,2031,4,1968,4,2,1,1,Hudson,Connolly,Tempe High School,3,213,9509,Detached,Cash
34,Private,N,Scottsdale,2354,5,1982,3,2,1,1,Laguna,Mountainside,Desert Mountain High,48,48,10275,Detached,Other
48,None,N,Chandler,1837,3,2001,3,2.5,2,2,Jane D. Hull,San Tan,Basha High,80,80,3750,Detached,Conventional
50,Private,N,Tempe,2429,4,1983,4,2,1,1,Curry,Connolly,McClintock,3,213,11038,Detached,Conventional
52,None,N,Scottsdale,1296,3,1958,3,1.75,1,1,Navajo,Mohave,Saguaro High,48,48,7250,Detached,Cash
61,Community,N,Chandler,1014,2,1988,2,2,1,1,Rudy G. Bologna,Willis,Perry,80,80,4940,Detached,Conventional
62,Private,N,Tempe,1176,3,1970,3,2,1,1,Carminati,McKemy,Tempe High School,3,213,5809,Detached,Conventional
67,Private,N,Scottsdale,2611,5,2001,4,3,1,1,Pinnacle Peak,Mountain Trail,Pinnacle,69,69,7937,Detached,Conventional
69,Private,N,Scottsdale,2694,4,1986,4,2.5,2,2,Anasazi Elementary,Mountainside,Desert Mountain High,48,48,6989,Detached,Other
79,Private,N,Scottsdale,1997,4,1959,4,3.5,1,1,Tonalea,Supai,Coronado High,48,48,7627,Detached,Conventional
83,None,N,Scottsdale,2006,4,1993,3,2,1,1,Desert Canyon,Desert Canyon Middle,Desert Mountain,48,48,6770,Detached,Conventional
88,Community,N,Chandler,1473,3,1984,3,2,1,1,Kyrene de las Brisas,Kyrene Aprende,Corona del Sol,28,213,4953,Detached,Conventional
96,Private,N,Chandler,3044,4,2002,4,2.5,1,1,CTA Independence,Bogle Junior High,Hamilton,80,80,10023,Detached,Cash
97,Private,N,Scottsdale,1901,4,1990,4,2,1,1,Zuni Hills,Desert Canyon,Desert Mountain,48,48,7371,Detached,Other
98,Private,N,Scottsdale,2244,5,1979,5,2,1,1,Desert Shadows,Desert Shadows Scott,Horizon,69,69,17107,Detached,Conventional
104,Private,N,Chandler,2248,4,1996,4,2,1,1,Kyrene de la Paloma,Kyrene del Pueblo,Corona del Sol,28,213,7370,Detached,Conventional
105,None,N,Chandler,2139,5,2013,4,2,1,1,Basha Elementary Sch,Bogle Junior High,Hamilton,80,80,5988,Detached,Cash
117,Community,N,Chandler,2363,5,2016,3,3,2,2,CTA Independence,Bogle Junior High,Hamilton,80,80,3429,Detached,Cash
123,None,N,Chandler,1612,3,1993,3,2,1,1,Kyrene del Sureno,Kyrene Aprende,Corona del Sol,28,213,7135,Detached,Cash
126,Private,N,Tempe,4365,7,1986,5,3,1,1,C. I. Waggoner,Kyrene Centennial,Corona del Sol,28,213,20521,Detached,Conventional
128,Private,N,Scottsdale,2152,4,1974,4,2,1,1,Kiva,Mohave,Saguaro High,48,48,7116,Detached,Conventional
134,None,N,Tempe,1828,3,1984,3,2,1,1,Laird,McKemy,Tempe High School,3,213,9139,Detached,Cash
139,Private,N,Scottsdale,1856,4,1957,4,2,1,1,Tavan,Ingleside,Arcadia High,48,48,7333,Detached,Conventional
141,Private,N,Scottsdale,2449,5,1992,3,2,1,1,Copper Ridge,Copper Ridge Middle,Chaparral High,48,48,8454,Detached,Cash
158,Private,N,Scottsdale,1489,4,1957,3,2,1,1,Pima,Tonalea,Coronado High,48,48,6896,Detached,Cash
159,Private,N,Tempe,1594,3,1986,3,2,1,1,C. I. Waggoner,Kyrene Middle,Corona del Sol,28,213,8651,Detached,Cash
163,Community,N,Tempe,1462,4,1997,3,2.5,2,2,Wood,Fees,Marcos De Niza,3,213,2161,Detached,Conventional
165,Community,N,Chandler,1576,3,1986,3,2,1,1,John M. Andersen,John M Andersen Jr H,Chandler High,80,80,4591,Detached,Cash
169,Private,N,Chandler,3324,4,2003,4,3.5,1,1,Ann Marie Jacobson,Bogle Junior High,Perry,80,80,13561,Detached,Conventional
180,Private,N,Tempe,3554,6,1997,4,3,2,2,C. I. Waggoner,Kyrene Middle,Corona del Sol,28,213,8629,Detached,Conventional
183,Private,N,Chandler,2573,4,2005,3,2.5,2,2,Navarrete,Navarrete Elementary,Basha High,80,80,9350,Detached,Conventional
184,None,N,Scottsdale,1623,4,1959,3,2,1,1,Yavapai,Supai,Coronado,48,48,6177,Detached,Conventional
191,None,N,Tempe,1988,4,1979,4,2,1,1,Kyrene de la Maripos,Kyrene Middle,Marcos De Niza,28,213,10102,Detached,Cash
194,Private,N,Scottsdale,1827,4,1966,4,2,1,1,Pueblo,Mohave,Saguaro High,48,48,8244,Detached,Conventional
198,Private,N,Scottsdale,1376,3,1984,3,2,1,1,North Ranch,Desert Shadows Scott,Horizon School,69,69,8629,Detached,Conventional
201,None,N,Chandler,1159,3,2000,3,2,1,1,Rudy G. Bologna,Bogle Junior High,Hamilton,80,80,3625,Attached,FHA
202,None,N,Tempe,1092,2,1950,2,1,1,1,Holdeman,Gililland,Tempe High School,3,213,6403,Detached,Cash
203,None,N,Tempe,1513,3,1956,3,2,1,1,Broadmor Elementary,Connolly,Tempe High School,3,213,8586,Detached,Cash
205,Private,N,Scottsdale,2941,5,2002,4,3,1,1,Pinnacle Peak,Pinnacle Peak,Pinnacle,69,69,7323,Detached,Conventional
232,None,N,Chandler,3754,5,2019,4,3.5,1,1,Ira A. Fulton,Santan Junior High,Hamilton,80,80,12940,Detached,Conventional
234,Private,N,Scottsdale,2331,4,1979,4,2,1,1,Kiva,Mohave,Saguaro High,48,48,7929,Detached,Conventional
236,Community,N,Scottsdale,2073,3,1994,3,2.5,1,1,Anasazi Elementary,Mountainside,Desert Mountain High,48,48,6409,Detached,Other
247,Private,N,Chandler,2023,3,2000,3,2,1,1,Rudy G. Bologna,Willis,Perry,80,80,7800,Detached,Conventional
248,None,N,Chandler,1788,3,2015,3,2,1,1,Shumway,Willis,Chandler High,80,80,5000,Detached,Conventional
250,Private,N,Chandler,1686,3,2003,3,2,1,1,Jane D. Hull,Santan Junior High,Basha High,80,80,11360,Detached,Conventional
252,Community,N,Chandler,1722,3,2020,3,2.5,2,2,San Tan,Santan Junior High,Perry,80,80,2911,Detached,Conventional
253,Private,N,Chandler,1314,3,1985,3,2,1,1,Sanborn,Willis,Chandler High,80,80,7018,Detached,FHA
256,Private,N,Scottsdale,3705,7,1998,5,2.5,2,2,Grayhawk,Mountain Trail,Pinnacle,69,69,9375,Detached,Cash
271,None,N,Chandler,956,2,1987,2,1,1,1,Rudy G. Bologna,Willis,Chandler High,80,80,3196,Detached,Conventional
278,Private,N,Scottsdale,1420,3,1959,3,2,1,1,Navajo,Mohave,Saguaro High,48,48,7430,Detached,Conventional
280,None,N,Tempe,2175,4,1995,3,2,1,1,Kyrene del Norte,Kyrene De La Colina,Marcos De Niza,28,213,7166,Detached,Conventional
282,Private,N,Tempe,2458,5,1986,4,2.5,1,1,Kyrene de la Maripos,Kyrene del Pueblo,Corona del Sol,28,213,11657,Detached,Conventional
283,Private,N,Chandler,3517,6,2001,6,3,2,2,Jane D. Hull,Santan Junior High,Basha High,80,80,7925,Detached,Conventional
289,Community,N,Scottsdale,1378,3,1987,2,2,1,1,Laguna,Mountainside,Desert Mountain,48,48,4001,Detached,Conventional
294,Community,N,Chandler,1149,2,2004,2,2,1,1,Adult,Adult,Adult,80,80,4275,Detached,Conventional
308,Private,N,Scottsdale,2265,4,1974,4,2,1,1,Kiva,Mohave,Saguaro High,48,48,10556,Detached,Cash
311,Private,N,Chandler,1836,4,1995,4,2,1,1,Kyrene de la Paloma,Kyrene del Pueblo,Corona del Sol,28,213,7741,Detached,Conventional
327,Private,N,Scottsdale,2034,4,1958,4,2,1,1,Pima,Supai,Coronado High,48,48,6405,Detached,Conventional
