_dataobs_,Pool,Horses,Sold_Price,City_Town_Code,Approx_SQFT,Bedrooms_Plus,Year_Built,__Bedrooms,__Bathrooms,__of_Interior_Levels,Exterior_Stories,Elementary_School,Jr__High_School,High_School,Elem_School_Dist__,High_School_Dist__,Approx_Lot_SqFt,Dwelling_Styles,Loan_Type
1,Community,N,303500,Chandler,1105,2,1986,2,2,1,1,Rudy G. Bologna,Willis,Perry,80,80,4726,Detached,Other
2,Private,N,542000,Tempe,1785,4,1964,4,2,1,1,Hudson,McKemy,McClintock,3,213,7161,Detached,Cash
4,None,N,315000,Chandler,1677,5,1961,3,2,1,1,Chandler High,Hartford Sylvia Enci,Chandler High,80,80,7784,Detached,Cash
5,Private,N,431250,Tempe,3082,6,1971,6,3.75,3,2,Arredondo Elem,Connolly,McClintock,3,213,7457,Detached,Cash
6,None,N,595000,Scottsdale,1592,4,1985,4,2,1,1,Sandpiper,Desert Shadows Scott,Horizon School,69,69,6648,Detached,Cash
7,Community,N,910000,Scottsdale,2452,4,1995,3,2.5,1,1,Desert Canyon,Desert Canyon Middle,Desert Mountain High,48,48,8075,Detached,Cash
8,Private,N,736000,Chandler,4106,7,2000,5,3.5,2,2,Chandler High,Bogle Junior High,Perry,80,80,10837,Detached,Cash
9,Private,N,639000,Chandler,2022,4,1998,4,2,1,1,John M. Andersen,John M Andersen Jr H,Chandler High,80,80,11748,Detached,Cash
10,Community,N,540000,Tempe,1592,3,1990,3,2,1,1,Kyrene de la Maripos,Kyrene del Pueblo,Corona del Sol,28,213,4321,Detached,Conventional
11,None,N,495000,Scottsdale,1360,2,1987,2,2,1,1,Anasazi Elementary,Mountainside,Desert Mountain High,48,48,6376,Detached,Cash
12,None,N,319000,Chandler,1242,3,1995,3,1.5,1,1,Sanborn,Chandler High,Chandler High,80,80,5530,Detached,Other
13,Private,N,590000,Chandler,2045,3,1994,3,2,1,1,Frye,Hamilton,Willis,80,80,6970,Detached,Conventional
14,Community,N,415300,Tempe,1408,4,1984,3,2,2,2,Kyrene de los Ninos,Kyrene Middle,Corona del Sol,28,28,5040,Detached,Cash
15,None,N,390000,Chandler,1216,3,1983,3,2,1,1,Kyrene del Sureno,Kyrene Aprende,Corona del Sol,28,213,7858,Detached,Cash
17,Private,N,755500,Tempe,2012,3,1962,3,2,1,1,Laird,McKemy,McClintock,3,213,7950,Detached,Other
18,Private,N,675000,Scottsdale,1350,3,1960,3,2,1,1,Yavapai,Supai,Coronado High,48,48,6306,Detached,Conventional
19,Private,N,580000,Tempe,1572,3,1974,3,2,1,1,Fuller,Fees,Marcos De Niza,3,213,10084,Detached,Conventional
20,Private,N,1500000,Scottsdale,3053,5,1978,4,3,1,1,Sequoya,Cocopah,Chaparral High,48,48,35070,Detached,Cash
21,None,N,725000,Scottsdale,1689,3,1974,3,2,1,1,Kiva,Mohave,Saguaro High,48,48,8937,Detached,Cash
22,Private,N,605000,Scottsdale,2216,4,1984,3,2,1,1,Liberty Scottsdale,Sunrise Middle,Horizon School,69,69,10266,Detached,Cash
23,Private,N,515000,Tempe,2400,6,1970,4,3.5,2,2,Arredondo Elem,Connolly,McClintock,3,213,9457,Detached,Cash
25,Community,N,450000,Chandler,1445,3,1995,3,2,1,1,Rudy G. Bologna,Willis,Perry,80,80,4713,Detached,Cash
26,Community,N,1200000,Scottsdale,2408,4,1986,3,3,2,2,Cochise,Cochise,Chaparral High,48,48,4400,Detached,Cash
27,Private,N,545000,Scottsdale,1587,4,1971,4,2,1,1,Yavapai,Supai,Coronado High,48,48,7305,Detached,Cash
28,Private,N,850000,Scottsdale,2369,5,1971,4,3.5,3,3,Navajo,Mohave,Saguaro High,48,48,13425,Detached,Conventional
30,Private,N,1015000,Scottsdale,2274,3,2000,3,3,1,1,Black Mountain,Sonoran Trails,Cactus Shadows,93,93,12765,Detached,Other
31,None,N,600000,Scottsdale,2472,4,1991,3,2.5,2,2,North Ranch,Desert Shadows Scott,Horizon School,69,69,6267,Detached,Cash
32,Private,N,730000,Chandler,2985,4,2003,3,2.5,1,1,Jane D. Hull,Jane D Hull,Basha High,80,80,10752,Detached,Cash
35,Private,N,840000,Scottsdale,1772,4,1975,4,2.5,1,1,Sandpiper,Desert Shadows,Paradise Valley,69,69,10841,Detached,Conventional
36,Community,N,750000,Scottsdale,1671,4,1995,3,2,1,1,Black Mountain,Sonoran Trails,Cactus Shadows,93,93,6176,Detached,Conventional
37,Private,N,610000,Chandler,2166,4,1989,4,2.5,2,2,Shumway,Willis,Chandler High,80,80,6978,Detached,Conventional
38,Private,N,540000,Scottsdale,1409,3,1959,3,2,1,1,Yavapai,Supai,Coronado High,48,48,6938,Detached,Other
39,Community,N,452500,Chandler,1516,3,2002,2,2,1,1,Adult,Adult,Adult,0,0,6500,Detached,Conventional
40,Private,N,1350000,Scottsdale,2948,4,1983,4,3,1,1,Cochise,Cocopah,Chaparral High,48,48,10350,Detached,Conventional
41,Private,N,1000000,Scottsdale,2660,4,1994,4,2.5,1,1,Pinnacle Peak,Mountain Trail,Pinnacle,69,69,9063,Detached,Conventional
42,Private,N,802000,Scottsdale,2439,5,1973,5,2.5,1,1,Desert Shadows,Desert Shadows Scott,Horizon School,69,69,15907,Detached,Cash
43,Private,N,700000,Chandler,3363,6,2002,4,2.5,2,2,Navarrete,Willie & Coy Payne J,Basha High,80,80,9321,Detached,Conventional
44,Private,N,627500,Chandler,1843,4,1995,4,2,1,1,Robert and Danell Ta,Bogle Junior High,Hamilton,80,80,7222,Detached,VA
45,Private,N,600000,Tempe,1976,4,1998,4,2,1,1,Wood,Fees,Marcos De Niza,3,213,7253,Detached,Cash
46,Private,N,585000,Chandler,2029,4,1985,4,2,1,1,Chandler Traditional,John M Andersen Jr H,Chandler High,80,80,11901,Detached,Conventional
47,None,N,535000,Fountain Hills,1528,3,1996,3,2,1,1,Fountain Hills,Fountain Hills,Fountain Hills,98,98,9126,Detached,Conventional
49,Private,N,825000,Fountain Hills,2087,4,1998,4,2,1,1,Four Peaks Ftn Hills,Fountain Hills Middl,Fountain Hills,98,98,9970,Detached,Conventional
51,Both,N,760000,Scottsdale,1700,3,1997,3,2.5,2,2,Desert Canyon,Copper Ridge,Saguaro High,48,48,5103,Detached,Cash
53,Private,N,517000,Chandler,2666,4,1996,4,2,1,1,Ann Marie Jacobson,Bogle Junior High,Hamilton,80,80,7309,Detached,Cash
54,None,N,450000,Scottsdale,1038,2,1966,2,1.75,1,1,Pima,Tonalea,Coronado High,48,48,7673,Detached,Conventional
55,Private,N,445000,Chandler,1684,3,1998,3,2,1,1,Galveston,Willis,Chandler High,80,80,5358,Detached,Conventional
56,None,N,410000,Chandler,1269,3,1974,3,2,1,1,Galveston,Willis,Chandler High,80,80,7096,Detached,FHA
57,Private,N,830000,Scottsdale,1628,3,1994,3,2,1,1,Copper Ridge,Copper Ridge,Saguaro,48,48,5481,Detached,Other
58,Community,N,575000,Chandler,1597,3,1992,3,2,1,1,Rudy G. Bologna,Willis,Perry,80,80,4892,Detached,Conventional
59,Private,N,545000,Fountain Hills,1470,3,1995,3,2,1,1,McDowell Mountain,Fountain Hills Middl,Fountain Hills,98,98,12323,Detached,Conventional
60,Private,N,529000,Tempe,1599,3,1972,3,2,1,1,Fuller,Fees,McClintock,3,213,8769,Detached,Cash
63,None,N,349000,Tempe,1334,3,1978,2,1,1,1,Frank Elementary Sch,Gililland,Tempe High School,3,213,6003,Detached,FHA
64,Community,N,1400000,Scottsdale,2232,4,1993,3,3,1,1,Cochise,Cocopah,Chaparral High,48,48,7497,Detached,Cash
65,None,N,1150000,Scottsdale,2853,3,1994,2,2.5,1,1,Black Mountain,Sonoran Trails,Cactus Shadows,93,93,22987,Detached,Cash
66,Private,N,1100000,Scottsdale,2875,4,2005,4,3.5,1,1,Anasazi Elementary,Mountainside,Desert Mountain High,48,48,9904,Detached,Conventional
68,Private,N,998000,Scottsdale,2026,4,1972,4,2,1,1,Sequoya,Cocopah,Chaparral High,48,48,10348,Detached,Conventional
70,Private,N,802000,Scottsdale,1794,3,1983,3,2,1,1,Liberty Scottsdale,Sunrise Middle,Horizon School,69,69,9353,Detached,Conventional
71,None,N,608000,Scottsdale,1651,2,1986,2,2,1,1,Redfield Elementary,Desert Canyon Middle,Desert Mountain High,48,48,6128,Detached,Cash
72,Private,N,559000,Fountain Hills,1497,3,1986,3,2,1,1,McDowell Mountain,Fountain Hills Middl,Fountain Hills,98,98,10398,Detached,Cash
73,Private,N,549999,Chandler,1706,3,1998,3,2,1,1,Ann Marie Jacobson,Bogle Junior High,Hamilton,80,80,5490,Detached,Conventional
74,Private,N,1400000,Scottsdale,3239,5,1997,4,3.5,1,1,Pinnacle Peak,Mountain Trail,Pinnacle,69,69,9200,Detached,Conventional
75,Private,N,785000,Tempe,2279,4,1994,4,2,1,1,Kyrene de las Manita,Kyrene del Pueblo,Mountain Pointe,28,213,8599,Detached,Conventional
76,None,N,765000,Scottsdale,2114,5,1989,3,2,1,1,Desert Springs,Desert Shadows Scott,Horizon School,69,69,7045,Detached,Conventional
77,Community,N,710000,Scottsdale,2396,4,1991,3,3.5,2,2,Pinnacle Peak,Mountain Trail,Pinnacle,69,69,5088,Detached,Cash
78,Community,N,1100000,Scottsdale,2300,3,1995,3,3,1,1,Sonoran Sky Scotts,Desert Shadows,Horizon,69,69,6000,Detached,Cash
80,Private,N,810000,Tempe,1740,3,1950,3,2,1,1,Broadmor Elementary,Connolly,Tempe High School,3,213,20369,Detached,Conventional
81,None,N,800000,Chandler,2943,6,2007,5,2.5,1,1,Ira A. Fulton,Bogle Junior High,Hamilton,80,80,9116,Detached,Cash
82,Private,N,780000,Tempe,1997,4,1983,3,2,1,1,Kyrene de los Ninos,Kyrene Middle,Corona del Sol,28,213,9405,Detached,VA
84,None,N,685000,Scottsdale,1465,3,1957,3,2,1,1,Kiva,Mohave,Saguaro High,48,48,7207,Detached,Other
85,None,N,562500,Scottsdale,1560,3,1960,3,2,1,1,Cochise,Mohave,Saguaro High,48,48,7304,Detached,Cash
86,None,N,560000,Tempe,1755,5,1961,4,3,1,1,Scales,Gililland,Tempe High School,3,213,6103,Detached,Conventional
